current_time,title,time_location,price,picture_links_list,item_link
2023-03-09 20:03:44,Cindy- Silver Reversible SectionalÃ¢ÂÂ¤Ã¯Â¸ÂÃ¢ÂÂ¨ price $799,"Listed 21 minutes ago in Houston, TX",$17,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333674959_6103802669697226_8231930240337810190_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=F0RJ3-6fg-EAX9qJQhH&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCIL2ZDq2eEo8YT1_msuhly1vHoI_OxQYKTUQaj59m-og&oe=640F3F64', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333965849_5941850602589291_2202006364715522183_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=zKjc3w_RY2gAX_dCMvF&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCN-c8pilPnn7J5V4w09pBC4MqLCWK3N79xra8hxT5t9g&oe=640E99A5']",https://www.facebook.com/marketplace/item/188784480523956/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:03:41,Forniture brand new in the box,"Listed in Houston, TX","$39
  ÃÂ· In stock","['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275001554_4945527598866607_5381962696784384014_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=_PlOHeOxClcAX8fn8Xf&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAYOPt258KgjGYxwY09nFWEqKZ81H5inKXeR2Y5Wq6Q-g&oe=640F4085', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275300341_5216161635095189_20854371427888743_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=c7HyX2AZGUQAX-4pvVH&_nc_ht=scontent-dfw5-1.xx&oh=00_AfD3mi-q6hgN99uAPRdmvS-pR8lJVrEENvbORW8qod7aiQ&oe=640F9059', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275334122_4863407560454266_4251495679594039912_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=eNxV458DPYgAX_BLKaa&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCg6VD9MyKsSOEIa61X2wpuI-WPnf42KNjoCE9t34ZtBw&oe=640EBD32', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/275146989_7144488788956472_3785806149854150533_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=c48759&_nc_ohc=yOAYxr3h84EAX9Y2Vrh&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAfoXTcUcWW5BtYLRFjRQ4-8gkKGDW5YAP3PxfD4uKxIA&oe=64105E7F', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275280393_4823857547661867_8775365165833705235_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=50H5oBu9LaYAX-3K79s&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBiwKPAMGSoHcycBfQ-yeSaiB_5WJ_LH9VQ2PbwPhesMQ&oe=640EA49D', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275190382_4444484822341888_5098724190560286049_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=pCNK-k2HKsEAX-Dtbgi&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCOzsE7vIuZOCBaFxjSXkGxMoDBPXl7PCs7wb4uy5UX6w&oe=640EFD0E', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275314621_5227420310655887_5831455234582035275_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=fagTjJg5riIAX_nMT2X&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDT7lU3GfZGjwRDXxopwHl8FafaZWBxWnCy8jm_cIajJg&oe=64105135', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275281756_4894864157258442_231116005487390170_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=-Ow9LJe_8lMAX-IKd6P&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCqcAjKoTBB95EqK7dvQm3o611phkYNHLLXK0j089fj6A&oe=64105D32', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/275274122_4888387634581467_4320237298503430380_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=T_hKpxh65TUAX-B9uSb&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAxG0IS21oeyg5p1mAaW2RiXsUuPz26xNIfJvchmXMq-A&oe=640EE194']",https://www.facebook.com/marketplace/item/3263560357307955/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:03:37,Grey Couches,"Listed 20 minutes ago in Houston, TX",$200,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334026240_9004044989667517_5646391594092685881_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=DLARLyWZEsIAX_r51-h&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDJXdQB8VRveMSeAzjtuJOqrLUISDQrp_p1SnyNLKmDng&oe=640FAD93', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/323008876_8861121897295207_6530328566942518716_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=_mX4GwC3CN8AX-GSkEY&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAv0r8YqVFMr_c-T2TKZidMkVZnNs-LLfRvjL9yLV-VCA&oe=640FAE8A']",https://www.facebook.com/marketplace/item/1534303186980319/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:03:35,Malibu black sectional Ã¢ÂÂ¤Ã¯Â¸ÂNo Needed Credit CheckÃ¢ÂÂ¨ Delivery same day Ã°ÂÂÂ$1199,"Listed in Houston, TX","$1,199
  ÃÂ· In stock","['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/330749683_4654021421389079_576517689514933326_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_ohc=oqvgU1gKss0AX_Cblcr&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAJON1e-agfXsSJJ3jz87oOb1BXZkGhWmSWuIaCzFtEmw&oe=640EC579', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/330515658_6580814678614497_7169758217644688248_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=_m1JK_HZgw0AX9ghJJ0&_nc_oc=AQns728JrqL-Wbhz9GUWy336Muucp-zRUN0kqpLL82Ott6bDKsBFuGOOvWI6im0CE0Y&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAy2EvztGmu6emEIOUluDE7J-ITZ4XZSzO8vLQnY-pDbQ&oe=6410623C', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/329440120_5787107961407771_6832104174368607450_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_ohc=2mbWKTKcT0sAX9iw7i7&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCZ99XDIcoG5KedKCt2cEp0wlMM-xyGTZN7vJfVPWHYDQ&oe=64102C90']",https://www.facebook.com/marketplace/item/217087774174635/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 20:03:32,Ikea Pull Out Couch,"Listed 15 minutes ago in Houston, TX",$350,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332572302_8827605137311569_1663500719413592983_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=72t7P9I7_LkAX_55GfK&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCZICiMp1EVq7AeSAqzXgQh7gfKTecIt7EX_oE-kqtwjQ&oe=641019CF', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333975709_6010994742279996_8976352206799111868_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=B1Uq_2OUC2wAX-NmgV6&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCAb3DEkDLywTqKGItIFkEdqqHGTRq4Zlsc7RYcdV_VYw&oe=640ED5E6', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332452426_9738892976136193_2441537281592777611_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=ihR2qImFgmEAX_weejQ&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDu_YZfM8xYOxF7ifkmsDrfLjSqUkzCCck84_AfD1GW8w&oe=640F6320', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332860130_6031957860252013_8566180157588302677_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=mq6Ua1m2m_MAX_j5qKh&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDob9rLCA77WuMZGheUs-Mc_KcxjIavEcjrRSf-M2LMIA&oe=640EF96B']",https://www.facebook.com/marketplace/item/1430681747471805/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:58:59,(NEW-OPEN BOX) Albany Park Kova Modular Cloud Couch - ÃÂ°ÃÂÃÂÃÂFREE DELIVERY,"Listed 57 minutes ago in Richmond, TX","$1,699","['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334653892_6394626947254253_4484728918189662723_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=IAVHug2ktgMAX9j60L4&_nc_oc=AQnn5LNQwn2vxzabVqP-zP_m4xHuao_IqpesYGc6RAgk2MeCRdgdiTRLtkc6uaoUOaQ&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDgkt_Jy7OS-j0ttGz3Zo9tGWn1aFAh14UuIgu7_wHFvQ&oe=64101FEE', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334168383_8833710550032588_449579214591276754_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=382YwHDpzD8AX_IswNR&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAnFapZVC_BbjMWNiXXzLorQjSgVpMaEgpSEyRV7EHdig&oe=640FE458', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334026245_6529608697098158_3987939010526862191_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=4Gqi47w7C4oAX9HoY7N&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBf6WOBODwBg7sKaN1QByxVrD4dpmrRQFnp6ax60uH5MQ&oe=640F670C', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334365974_5705785826192113_6901136982672166417_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=ASmEqG9sYAIAX-_jrYk&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDj-Yxj7KDL-JsOn8TtNv7plmCEDEH6zaDJ2BqNVZ31lg&oe=640FCE21', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334459199_6587519537942324_4010982968276763253_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=i7lehaGBh3MAX9UeDD7&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCoe_AqrTrEUzS_T_h_sSabfNuRldh2INUv0Z3v3KIWrg&oe=640EFF93', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332744041_5980269862055533_3835935099724397595_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=bQb7DmsSzWcAX-K9YEa&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDu0pyG7LlvARD1QsS47ROGvqE2df6VhPRjpRImMqsdvA&oe=64102B17', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332886225_5890437194342628_7862963983312954826_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=kqWocTsGqXgAX-uDKS9&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCs7QYE05AFXsVXmwRy6hwchyAVqrrAryJObPRYOcB0NA&oe=640F5D63', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332846051_6589973364363300_5341427522516755899_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=jhdjRsPJ_EkAX__n58a&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAe-hTwNfMpSovANAOFG1AcztvIVE3XyPiccFCYr7uqHA&oe=640F6DF0', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333277055_9262524133765358_5148283491377737657_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=exLBDw8ZlNIAX9sShmR&_nc_ht=scontent-dfw5-1.xx&oh=00_AfArFsbdHRz9sGF65UQ3kho60zhxNPsa1ORJoeznUgJ7QQ&oe=64107883', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333357857_6051356531593941_2888627148806814403_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=V2Kxn0YW2EQAX_j8N64&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCM09n4lQ2Zxhg2G3CG5v1bFMoVkK_zU5ulUUIGcAkkQA&oe=640FDC52']",https://www.facebook.com/marketplace/item/913682346718703/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:40,Paul Frankl Style Six Strand Pretzel Three Seater Sofa - For Project,"Listed 55 minutes ago in Houston, TX",$695,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/330921898_5840770022659288_1210265743953498020_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=MNSBGtl-qG0AX94H1g0&_nc_ht=scontent-dfw5-1.xx&oh=00_AfC2LqCNBtNu0pmIQY_IpylterHm3zq-fG9OiqqisAIfgw&oe=640F233B', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/307254751_5897818696918494_6075808724075961480_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=TWZRozFBlXAAX9rmg5Y&_nc_ht=scontent-dfw5-1.xx&oh=00_AfA_XvbVzZicb98j0iOiPccQwR9jimujetFZ5Ee0mZB3dQ&oe=640EF398', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/307204251_5748363075207673_955652601572285784_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=OJY-lmeRnnQAX9Dtgvn&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAyHA--zMfb6T3EOCuEqrjJyOkAfNyGh4QPr3l_2ZDnEA&oe=640FC410', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/307167417_7855012001238056_6631388598996156301_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=c48759&_nc_ohc=wA8OVnl93qYAX_PFOwo&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBj20Gf7eUHUF1VvslfLnRt9Hn30s3PI-E4VUT_VksuVg&oe=64102AF0', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/307286304_5454730627955133_3076491213552316159_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=VqzcOTtSFT4AX9Ngx1t&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBrYousfZod8Wy6bFi2MOPKukGSmHdWCFNuWNNZrxrMsw&oe=640F7B0A', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/307087611_5328474423932089_2583612895855290662_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=R4tRPDue0zEAX-_7yqI&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBPCHvuyAVo4hGN5HkZ1Yw8tccvS2CJ3EiaFKrMEReUIw&oe=640F4646', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/306900566_5402331559883493_8071855975564790183_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=c48759&_nc_ohc=V75nVoNtsMgAX8F80vR&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAnHRObpMxo4Sp8S0g0VG7v_PWn8VLtIcLtqRgXk7ZWPg&oe=640E9ED7', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/330808902_5948756698537985_8240651971580127368_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=4ipO5hrFUFwAX8Zvk4L&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBnzYZIcs9ipuBd89OHw5EhkiYZO4s4A5rd0b4geM9ARQ&oe=640EB567']",https://www.facebook.com/marketplace/item/5880572405353229/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:36,Special ivory gold sofa loveseat set ÃÂÃÂ°ÃÂÃÂÃÂÃÂ¤ÃÂÃÂ© no credit check down payment 100$,"Listed in Houston, TX","$100
  ÃÂÃÂÃÂÃÂ· In stock",[],https://www.facebook.com/marketplace/item/206611165383519/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:32,Couch,"Listed 51 minutes ago in Sugar Land, TX",$400,"['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/331173079_5804067832981301_2626550190097367473_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=BhAN01N65HUAX-MDk9B&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAvdAQ1kc4etxopDXUGBJ71bLZXBB6zNuffQ7x5hSxKxA&oe=640FA497', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/331741633_5988724207833086_6359444079083175908_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_ohc=h5c3m5UD8kwAX-6UwL_&_nc_ht=scontent-dfw5-2.xx&oh=00_AfC0QtFudCRWIu8twEyvPd6rtjmIMgS3yK334ld9nGf8_A&oe=640E9BBB']",https://www.facebook.com/marketplace/item/1427339684681261/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:29,Sofa Set,"Listed 45 minutes ago in Houston, TX",$400,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333282773_5678080098980855_272877059410157591_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=c48759&_nc_ohc=OIdtugo7KG8AX9ou0n6&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDFDUraO0WajCUWmSCVr-II2etp5q1jClGZu7igwmr4ig&oe=640E9CE4', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332542460_4407085146081696_8632913304002065592_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=Yqb_RXh0CA4AX-2Tcs3&_nc_ht=scontent-dfw5-2.xx&oh=00_AfBKYZfcZHEZeqo-JX88EmNdEk7DEVFpp6N3rVY_M85y3w&oe=640F61C9']",https://www.facebook.com/marketplace/item/878933773212985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:25,(NEW-OPEN BOX) Albany Park Kova Modular Cloud Couch - ÃÂÃÂ°ÃÂÃÂÃÂÃÂÃÂÃÂFREE DELIVERY,"Listed 45 minutes ago in Richmond, TX","$1,699","['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/334653892_6394626947254253_4484728918189662723_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=c48759&_nc_ohc=IAVHug2ktgMAX9j60L4&_nc_oc=AQnn5LNQwn2vxzabVqP-zP_m4xHuao_IqpesYGc6RAgk2MeCRdgdiTRLtkc6uaoUOaQ&_nc_ht=scontent-dfw5-2.xx&oh=00_AfDgkt_Jy7OS-j0ttGz3Zo9tGWn1aFAh14UuIgu7_wHFvQ&oe=64101FEE', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334168383_8833710550032588_449579214591276754_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=382YwHDpzD8AX_IswNR&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAnFapZVC_BbjMWNiXXzLorQjSgVpMaEgpSEyRV7EHdig&oe=640FE458', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334026245_6529608697098158_3987939010526862191_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=4Gqi47w7C4oAX9HoY7N&_nc_ht=scontent-dfw5-1.xx&oh=00_AfBf6WOBODwBg7sKaN1QByxVrD4dpmrRQFnp6ax60uH5MQ&oe=640F670C', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334365974_5705785826192113_6901136982672166417_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=ASmEqG9sYAIAX-_jrYk&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDj-Yxj7KDL-JsOn8TtNv7plmCEDEH6zaDJ2BqNVZ31lg&oe=640FCE21', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/334459199_6587519537942324_4010982968276763253_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=i7lehaGBh3MAX9UeDD7&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCoe_AqrTrEUzS_T_h_sSabfNuRldh2INUv0Z3v3KIWrg&oe=640EFF93', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332744041_5980269862055533_3835935099724397595_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=c48759&_nc_ohc=bQb7DmsSzWcAX-K9YEa&_nc_ht=scontent-dfw5-1.xx&oh=00_AfDu0pyG7LlvARD1QsS47ROGvqE2df6VhPRjpRImMqsdvA&oe=64102B17', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/332886225_5890437194342628_7862963983312954826_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=c48759&_nc_ohc=kqWocTsGqXgAX-uDKS9&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCs7QYE05AFXsVXmwRy6hwchyAVqrrAryJObPRYOcB0NA&oe=640F5D63', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/332846051_6589973364363300_5341427522516755899_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=c48759&_nc_ohc=jhdjRsPJ_EkAX__n58a&_nc_ht=scontent-dfw5-1.xx&oh=00_AfAe-hTwNfMpSovANAOFG1AcztvIVE3XyPiccFCYr7uqHA&oe=640F6DF0', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/333277055_9262524133765358_5148283491377737657_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=exLBDw8ZlNIAX9sShmR&_nc_ht=scontent-dfw5-1.xx&oh=00_AfArFsbdHRz9sGF65UQ3kho60zhxNPsa1ORJoeznUgJ7QQ&oe=64107883', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333357857_6051356531593941_2888627148806814403_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=V2Kxn0YW2EQAX_j8N64&_nc_ht=scontent-dfw5-2.xx&oh=00_AfCM09n4lQ2Zxhg2G3CG5v1bFMoVkK_zU5ulUUIGcAkkQA&oe=640FDC52']",https://www.facebook.com/marketplace/item/913682346718703/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:21,Natural White Parchment Modular Sectional Couch | Brand New,"Listed 44 minutes ago in Houston, TX",$49,"['https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/333435143_5869505933118443_1102838777848817002_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=c48759&_nc_ohc=Was7JYdtDHAAX80xcUp&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAZr9TQw0NmVLXv4qKqMt6jrQ7EMAXcFXmI1BLlaWtDYw&oe=640E849A', 'https://scontent-dfw5-2.xx.fbcdn.net/v/t45.5328-4/296167567_8074613819222944_3350628236260282368_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=c48759&_nc_ohc=39wgHP509D4AX9a23FJ&_nc_ht=scontent-dfw5-2.xx&oh=00_AfAr85rFQJO7FF3QKU_KEHS_4Xu9r8b4Ikz-XusdO8W3vQ&oe=640F1664']",https://www.facebook.com/marketplace/item/3438089589770720/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023-03-09 19:46:18,sofa And Loveaset,"Listed 24 minutes ago in Pasadena, TX","$11,111","['https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/329240534_6014067945311488_303804503191505766_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=c48759&_nc_ohc=B8fCVHnb0_4AX8jgzs_&_nc_ht=scontent-dfw5-1.xx&oh=00_AfCwwiq--f6f1KqL_xx1GHFLGMRtW1PB7kDwWrB0HikBNQ&oe=640E8210', 'https://scontent-dfw5-1.xx.fbcdn.net/v/t45.5328-4/324521199_8719200374818389_3799143895245351205_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=c48759&_nc_ohc=IKf6JfxYMsIAX8zSk-M&_nc_ht=scontent-dfw5-1.xx&oh=00_AfC4k0aLV_LGZawhIRs2J1YujxHsvI176f3zpAB6PNrZmw&oe=640F4E68']",https://www.facebook.com/marketplace/item/754024549439558/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
